SubID,ColorpT,ScenepT,Colork,Scenek,EmotionSuccess,EmotionConfidence,ColorS-SceneS,EmotionS-ColorS,EmotionS-SceneS,ColorP-SceneP,ColorS-SceneP,SceneS-ColorP
1,0.264350652,0.511135703,10.44769506,10.08267291,0.590277778,0.576470588,0.12181713,0.051793981,0.111207562,-0.117098745,-0.018916941,0.018461038
2,0.764734687,0.551242955,1.177872807,4.983970085,0.680555556,0.724489796,0.089313272,0.058256173,0.059992284,0.077148629,0.083134919,-0.142388607
3,0.850010149,0.872227983,4.183870245,24.13678899,0.951388889,0.868613139,0.039930556,0.01089892,0.043402778,-0.10546851,0.019889277,0.188170767
4,0.889071437,0.857210278,3.957195902,17.37640113,0.944444444,0.941176471,0.001157407,-0.002314815,0.012345679,0.006258432,-0.062819413,0.080531873
5,0.677541883,0.509882434,4.36868208,24.52991525,0.65,0.666666667,0.044583333,0.064166667,0.119166667,-0.000950027,-0.031478123,-0.043551765
6,0.435921029,0.597214577,5.274158604,29.17412127,0.798611111,0.547826087,0.027777778,-0.006655093,0.060185185,-0.124788068,-0.037561678,-0.107573857
7,0.422847913,0.402360265,4.650416292,17.28945509,0.645833333,0.419354839,0.113811728,0.006365741,0.052662037,-0.162043033,0.059061393,0.181892506
9,0.482349044,0.530139207,3.686919831,13.59684948,0.666666667,0.65,0.080138889,0.072222222,0.011111111,0.141830031,-0.031633664,-0.078750428
10,0.924334145,0.888058663,5.27630207,29.43732249,0.895833333,0.953488372,0.040509259,0.010416667,0.022858796,0.120055797,0.169516174,0.096438329
11,0.687026532,0.494538974,5.438198651,11.1181186,0.666666667,0.520833333,0.018518519,0.00462963,0.055555556,0.189275293,-0.082878801,-0.161395429
13,0.754508814,0.634430484,3.035488051,33.25093144,0.583333333,0.685714286,0.207361111,0.134722222,0.126388889,0.048431312,-0.180624229,0.06552821
14,0.91648881,0.831122865,5.869477102,38.53977364,0.743055556,0.859813084,0.060185185,0.040509259,0.081404321,0.084376597,0.028783639,0.134951885
15,0.78484832,0.649680521,3.197344591,7.50275561,0.766666667,0.826086957,0.070138889,0.086111111,-0.016111111,-0.099491279,-0.00843198,0.023284446
16,0.65554754,0.487697491,5.047440438,10.54577965,0.694444444,0.8,0.066454475,0.03742284,0.048996914,0.035230824,0.105425508,0.156989172
19,0.284087759,0.343923348,13.71720994,19.68777693,0.645833333,0.709677419,0.125675154,0.08130787,0.111400463,0.33871005,0.111209219,-0.059936263
20,0.535805284,0.651995631,3.439630239,13.86300893,0.770833333,0.720720721,0.024305556,0.042824074,0.065104167,-0.091030461,0.091017344,-0.121197153
21,0.88808022,0.837441886,7.034081757,15.45374417,0.840277778,0.702479339,0.001157407,0.015046296,0.046199846,-0.026782616,0.257781364,0.106281178
22,0.712228586,0.609534679,4.791267957,25.4073355,0.798611111,0.417391304,0.087962963,0.077160494,0.060185185,0.029544345,0.239219462,0.162894539
24,0.888058599,0.888617832,6.001556348,81.77575699,0.840277778,0.611570248,0.026813272,0.066165123,0.031153549,0.008262965,-0.077282476,0.005580294
25,0.554794353,0.468584473,5.473644286,42.61999862,0.659722222,0.557894737,0.153935185,0.074556327,0.063657407,0.014823164,0.02016058,0.138783339
27,0.625215909,0.340924565,5.584458862,12.73896673,0.701388889,0.792079208,0.163773148,0.074363426,0.118248457,-0.196940103,-0.186273754,-0.141407964
28,0.312351668,0.54981692,10.86343863,27.16076432,0.694444444,0.81,0.147280093,0.012731481,0.02507716,-0.082876476,0.105100275,0.372649892
29,0.478354612,0.345197821,5.584518773,45.1279555,0.722222222,0.519230769,0.113136574,0.081018519,0.148919753,0.02800972,0.232534432,0.125219723
30,0.583645471,0.819026072,6.913110154,47.45872983,0.770833333,1,0.075810185,0.046875,0.078414352,-0.111201739,-0.041687642,0.035825879
31,0.843895301,0.898251757,4.052647359,58.96136746,0.9375,0.911111111,0.056712963,0.0078125,0.03125,0.042999565,0.016768907,0.003229216
32,0.885520799,0.724204372,3.013950924,45.0162924,0.881944444,0.866141732,0.086419753,0.054591049,0.114197531,0.022232198,0.046768289,0.033269039
33,0.893550573,0.902390614,4.267016467,31.34674658,0.854166667,0.74796748,0.090952932,0.044849537,0.047164352,0.076251643,0.096317933,-0.019024823
34,0.822956524,0.819472435,4.771655422,17.42046599,0.770833333,0.828828829,0.042534722,0.058159722,0.108506944,0.049945246,0.200477385,-0.013724393
