SubID,ROI,MeanBeta
sub-s001,ANG,0.657568542
sub-s002,ANG,-0.20334803
sub-s003,ANG,-2.351158223
sub-s004,ANG,1.37436327
sub-s005,ANG,1.70386823
sub-s006,ANG,4.409281382
sub-s007,ANG,2.494140869
sub-s009,ANG,3.181274505
sub-s010,ANG,1.731072234
sub-s011,ANG,0.175867782
sub-s013,ANG,3.304934938
sub-s014,ANG,0.235436009
sub-s015,ANG,0.618259076
sub-s016,ANG,3.15807841
sub-s019,ANG,1.643533858
sub-s020,ANG,-1.975148116
sub-s021,ANG,-0.717306369
sub-s022,ANG,1.73774968
sub-s024,ANG,-4.277882202
sub-s025,ANG,-0.463534726
sub-s027,ANG,4.007798628
sub-s028,ANG,-0.715104964
sub-s029,ANG,-3.311861283
sub-s030,ANG,1.01442698
sub-s031,ANG,-0.174915487
sub-s032,ANG,-1.824154891
sub-s033,ANG,3.139140131
sub-s034,ANG,1.391696731
sub-s001,PREC,0.107207199
sub-s002,PREC,-0.693505455
sub-s003,PREC,-0.287823307
sub-s004,PREC,1.29376465
sub-s005,PREC,3.2637014
sub-s006,PREC,4.92663177
sub-s007,PREC,1.729804042
sub-s009,PREC,3.027900611
sub-s010,PREC,2.882687758
sub-s011,PREC,1.563507152
sub-s013,PREC,3.068283788
sub-s014,PREC,0.976415736
sub-s015,PREC,2.433425911
sub-s016,PREC,3.325463665
sub-s019,PREC,0.847468923
sub-s020,PREC,-0.79763659
sub-s021,PREC,-0.50045288
sub-s022,PREC,2.238306034
sub-s024,PREC,1.509829037
sub-s025,PREC,1.250900086
sub-s027,PREC,3.445081736
sub-s028,PREC,0.612483425
sub-s029,PREC,-0.507401719
sub-s030,PREC,0.217736306
sub-s031,PREC,1.16064643
sub-s032,PREC,1.039049126
sub-s033,PREC,3.655838399
sub-s034,PREC,1.038647636
sub-s001,PCC,0.545553212
sub-s002,PCC,0.645874824
sub-s003,PCC,-1.524874423
sub-s004,PCC,-0.155248503
sub-s005,PCC,0.740387213
sub-s006,PCC,2.196445442
sub-s007,PCC,0.636468912
sub-s009,PCC,1.514432692
sub-s010,PCC,2.377009476
sub-s011,PCC,1.184996605
sub-s013,PCC,1.539080125
sub-s014,PCC,0.600040661
